order_id,order_date,region,product_category,sales_rep,lead_source,units_sold,unit_price,revenue,month
500028,2025-10-14,Midwest,Accessories,Rep E,Referral,3,827.22,2481.66,2025-10
500029,2025-02-22,West,Window Treatments,Rep A,Partner,5,789.38,3946.9,2025-02
500030,2024-08-18,South,Window Treatments,Rep D,Partner,1,454.13,454.13,2024-08
500031,2024-11-22,Midwest,Smart Blinds,Rep D,Website,2,351.54,703.08,2024-11
500032,2024-11-20,Midwest,Window Treatments,Rep A,Referral,4,476.84,1907.36,2024-11
500033,2025-04-23,East,Accessories,Rep E,Canvassing,1,275.38,275.38,2025-04
500034,2024-10-24,Midwest,Smart Blinds,Rep C,Website,1,820.01,820.01,2024-10
500035,2024-07-12,South,Window Treatments,Rep A,Partner,3,707.24,2121.72,2024-07
500036,2025-09-18,Midwest,Accessories,Rep A,Website,5,335.43,1677.15,2025-09
500037,2024-01-03,West,Window Treatments,Rep E,Partner,3,767.81,2303.43,2024-01
500038,2024-12-26,West,Outdoor Shades,Rep A,Canvassing,4,238.03,952.12,2024-12
500039,2024-04-26,West,Smart Blinds,Rep B,Website,1,383.18,383.18,2024-04
500040,2025-06-28,East,Smart Blinds,Rep E,Inbound Call,1,729.05,729.05,2025-06
500041,2024-06-08,East,Smart Blinds,Rep B,Canvassing,1,371.14,371.14,2024-06
500042,2025-10-25,East,Outdoor Shades,Rep C,Referral,2,283.56,567.12,2025-10
500043,2024-07-01,Midwest,Window Treatments,Rep D,Inbound Call,2,957.03,1914.06,2024-07
500044,2024-03-09,East,Outdoor Shades,Rep D,Canvassing,2,666.05,1332.1,2024-03
500045,2024-02-29,Midwest,Window Treatments,Rep E,Partner,3,1016.2,3048.6,2024-02
500046,2024-09-12,Midwest,Accessories,Rep B,Partner,2,582.35,1164.7,2024-09
500047,2025-11-19,East,Outdoor Shades,Rep B,Partner,4,758.9,3035.6,2025-11
500048,2024-03-08,East,Window Treatments,Rep B,Referral,1,380.95,380.95,2024-03
500049,2025-03-18,South,Smart Blinds,Rep D,Canvassing,4,262.68,1050.72,2025-03
500050,2025-06-22,Midwest,Outdoor Shades,Rep D,Canvassing,1,556.04,556.04,2025-06
500051,2025-12-14,West,Window Treatments,Rep B,Inbound Call,1,545.7,545.7,2025-12
500052,2025-02-21,South,Window Treatments,Rep B,Canvassing,2,317.25,634.5,2025-02
500053,2024-12-07,South,Window Treatments,Rep E,Inbound Call,1,369.06,369.06,2024-12
500054,2024-04-19,South,Outdoor Shades,Rep D,Website,3,914.04,2742.12,2024-04
500055,2025-04-15,South,Accessories,Rep D,Referral,2,873.42,1746.84,2025-04
500056,2025-04-16,East,Smart Blinds,Rep A,Referral,5,966.12,4830.6,2025-04
500057,2024-03-08,East,Smart Blinds,Rep E,Website,3,179.13,537.39,2024-03
500058,2025-04-07,Midwest,Window Treatments,Rep E,Website,3,590.25,1770.75,2025-04
500059,2024-03-30,West,Outdoor Shades,Rep B,Partner,3,339.57,1018.71,2024-03
500060,2025-09-04,South,Outdoor Shades,Rep C,Partner,5,711.18,3555.9,2025-09
500061,2024-08-07,West,Window Treatments,Rep D,Partner,3,615.97,1847.91,2024-08
500062,2024-12-21,Midwest,Smart Blinds,Rep A,Canvassing,4,782.14,3128.56,2024-12
500063,2025-04-30,East,Smart Blinds,Rep E,Canvassing,5,703.24,3516.2,2025-04
500064,2024-09-13,South,Outdoor Shades,Rep B,Referral,1,698.9,698.9,2024-09
500065,2025-01-07,East,Smart Blinds,Rep C,Website,1,749.97,749.97,2025-01
500066,2024-10-28,West,Window Treatments,Rep B,Referral,3,481.57,1444.71,2024-10
500067,2025-04-30,Midwest,Window Treatments,Rep D,Website,1,271.84,271.84,2025-04
500068,2025-03-19,West,Window Treatments,Rep A,Canvassing,1,1042.32,1042.32,2025-03
500069,2024-02-08,East,Smart Blinds,Rep A,Referral,5,1000.5,5002.5,2024-02
500070,2025-05-09,South,Outdoor Shades,Rep E,Partner,1,1082.64,1082.64,2025-05
500071,2024-06-02,South,Accessories,Rep E,Referral,1,850.99,850.99,2024-06
500072,2024-04-27,East,Outdoor Shades,Rep E,Website,5,387.02,1935.1,2024-04
500073,2024-10-30,West,Smart Blinds,Rep B,Referral,4,751.97,3007.88,2024-10
500074,2024-05-26,South,Window Treatments,Rep E,Canvassing,1,369.92,369.92,2024-05
500075,2024-09-25,Midwest,Window Treatments,Rep D,Website,3,1021.09,3063.27,2024-09
500076,2024-02-22,West,Window Treatments,Rep D,Canvassing,4,174.2,696.8,2024-02
500077,2025-07-10,East,Smart Blinds,Rep C,Referral,4,314.07,1256.28,2025-07
500078,2025-07-07,East,Outdoor Shades,Rep C,Partner,5,989.86,4949.3,2025-07
500079,2025-12-21,West,Window Treatments,Rep A,Canvassing,1,632.21,632.21,2025-12
500080,2024-11-25,West,Outdoor Shades,Rep A,Partner,5,301.88,1509.4,2024-11
500081,2025-04-11,East,Smart Blinds,Rep E,Inbound Call,2,521.8,1043.6,2025-04
500082,2024-04-15,Midwest,Accessories,Rep D,Referral,3,200.52,601.56,2024-04
500083,2024-07-02,East,Window Treatments,Rep D,Referral,5,133.14,665.7,2024-07
500084,2024-02-13,South,Smart Blinds,Rep A,Canvassing,2,169.76,339.52,2024-02
500085,2024-08-23,Midwest,Window Treatments,Rep D,Canvassing,5,591.88,2959.4,2024-08
500086,2025-09-23,Midwest,Window Treatments,Rep C,Website,2,791.7,1583.4,2025-09
500087,2024-11-08,East,Smart Blinds,Rep A,Canvassing,1,899.75,899.75,2024-11
500088,2025-10-23,East,Outdoor Shades,Rep D,Partner,4,291.46,1165.84,2025-10
500089,2024-11-13,Midwest,Window Treatments,Rep B,Canvassing,4,359.25,1437.0,2024-11
500090,2024-01-02,East,Accessories,Rep C,Partner,1,203.39,203.39,2024-01
500091,2024-03-14,Midwest,Smart Blinds,Rep B,Inbound Call,5,280.29,1401.45,2024-03
500092,2025-10-24,East,Outdoor Shades,Rep C,Canvassing,2,313.28,626.56,2025-10
500093,2025-11-21,East,Window Treatments,Rep C,Referral,5,1089.99,5449.95,2025-11
500094,2024-04-01,West,Window Treatments,Rep E,Inbound Call,1,1093.29,1093.29,2024-04
500095,2025-11-21,Midwest,Window Treatments,Rep C,Inbound Call,1,185.1,185.1,2025-11
500096,2025-03-12,West,Outdoor Shades,Rep C,Canvassing,1,719.44,719.44,2025-03
500097,2025-10-01,East,Accessories,Rep C,Website,5,184.66,923.3,2025-10
500098,2024-12-05,Midwest,Outdoor Shades,Rep C,Website,3,681.17,2043.51,2024-12
500099,2025-03-30,South,Outdoor Shades,Rep D,Referral,2,333.48,666.96,2025-03
500100,2025-10-12,West,Accessories,Rep D,Referral,3,727.85,2183.55,2025-10
500101,2025-01-21,Midwest,Outdoor Shades,Rep A,Referral,4,804.35,3217.4,2025-01
500102,2024-12-06,South,Window Treatments,Rep B,Referral,4,472.24,1888.96,2024-12
500103,2025-06-08,East,Outdoor Shades,Rep E,Partner,4,770.46,3081.84,2025-06
500104,2025-04-02,East,Window Treatments,Rep B,Website,4,363.02,1452.08,2025-04
500105,2024-03-11,Midwest,Window Treatments,Rep C,Referral,5,123.17,615.85,2024-03
500106,2025-01-16,West,Window Treatments,Rep C,Inbound Call,3,462.29,1386.87,2025-01
500107,2025-12-25,East,Window Treatments,Rep B,Website,4,793.92,3175.68,2025-12
500108,2025-06-27,West,Smart Blinds,Rep C,Partner,1,1053.74,1053.74,2025-06
500109,2024-07-25,Midwest,Outdoor Shades,Rep D,Inbound Call,2,441.57,883.14,2024-07
500110,2024-02-25,East,Outdoor Shades,Rep E,Referral,3,793.3,2379.9,2024-02
500111,2024-09-02,West,Window Treatments,Rep A,Partner,4,520.07,2080.28,2024-09
500112,2025-09-02,Midwest,Outdoor Shades,Rep D,Inbound Call,2,799.55,1599.1,2025-09
500113,2025-07-30,South,Window Treatments,Rep A,Website,5,569.43,2847.15,2025-07
500114,2024-06-24,Midwest,Accessories,Rep C,Website,1,961.73,961.73,2024-06
500115,2025-04-25,South,Outdoor Shades,Rep C,Inbound Call,4,609.46,2437.84,2025-04
500116,2024-10-19,East,Window Treatments,Rep D,Inbound Call,4,710.89,2843.56,2024-10
500117,2025-12-24,South,Smart Blinds,Rep C,Referral,1,659.12,659.12,2025-12
500118,2024-05-18,South,Outdoor Shades,Rep B,Canvassing,5,157.36,786.8,2024-05
500119,2025-11-26,West,Outdoor Shades,Rep B,Website,5,398.03,1990.15,2025-11
500120,2024-10-07,Midwest,Window Treatments,Rep A,Referral,5,948.25,4741.25,2024-10
500121,2024-02-23,East,Window Treatments,Rep C,Website,1,656.3,656.3,2024-02
500122,2024-06-05,South,Window Treatments,Rep A,Referral,1,177.26,177.26,2024-06
500123,2024-10-26,East,Smart Blinds,Rep D,Canvassing,3,205.24,615.72,2024-10
500124,2024-07-26,East,Outdoor Shades,Rep B,Website,5,817.2,4086.0,2024-07
500125,2024-05-07,West,Outdoor Shades,Rep B,Website,3,813.52,2440.56,2024-05
500126,2025-08-11,West,Window Treatments,Rep B,Inbound Call,3,783.94,2351.82,2025-08
500127,2025-10-26,East,Window Treatments,Rep D,Inbound Call,2,344.68,689.36,2025-10
500128,2025-12-30,Midwest,Window Treatments,Rep C,Partner,5,164.27,821.35,2025-12
500129,2025-05-16,Midwest,Window Treatments,Rep D,Inbound Call,1,169.13,169.13,2025-05
500130,2025-05-10,East,Smart Blinds,Rep A,Canvassing,1,619.4,619.4,2025-05
500131,2025-09-08,South,Window Treatments,Rep A,Canvassing,3,1066.5,3199.5,2025-09
500132,2024-06-27,Midwest,Smart Blinds,Rep B,Inbound Call,1,402.85,402.85,2024-06
500133,2025-04-17,West,Accessories,Rep C,Partner,2,988.91,1977.82,2025-04
500134,2024-06-13,Midwest,Smart Blinds,Rep E,Website,4,805.42,3221.68,2024-06
500135,2025-02-20,West,Accessories,Rep B,Website,2,605.93,1211.86,2025-02
500136,2025-06-06,East,Outdoor Shades,Rep C,Referral,3,708.23,2124.69,2025-06
500137,2024-04-24,West,Window Treatments,Rep D,Referral,5,380.24,1901.2,2024-04
500138,2025-03-25,East,Smart Blinds,Rep B,Website,3,291.83,875.49,2025-03
500139,2024-08-07,South,Outdoor Shades,Rep A,Referral,3,281.71,845.13,2024-08
500140,2025-09-21,Midwest,Outdoor Shades,Rep E,Website,3,498.34,1495.02,2025-09
500141,2025-08-28,South,Window Treatments,Rep E,Canvassing,1,890.42,890.42,2025-08
500142,2025-08-27,South,Window Treatments,Rep E,Referral,5,992.08,4960.4,2025-08
500143,2024-02-16,South,Outdoor Shades,Rep B,Referral,4,138.17,552.68,2024-02
500144,2024-11-14,East,Accessories,Rep D,Inbound Call,4,542.93,2171.72,2024-11
500145,2025-07-13,Midwest,Outdoor Shades,Rep D,Inbound Call,2,152.69,305.38,2025-07
500146,2025-04-01,Midwest,Outdoor Shades,Rep B,Canvassing,3,1057.32,3171.96,2025-04
500147,2024-07-30,East,Outdoor Shades,Rep B,Inbound Call,1,177.08,177.08,2024-07
500148,2025-05-29,South,Window Treatments,Rep C,Website,4,951.45,3805.8,2025-05
500149,2025-02-05,West,Accessories,Rep E,Website,2,246.13,492.26,2025-02
500150,2025-03-28,Midwest,Accessories,Rep B,Referral,2,1046.01,2092.02,2025-03
500151,2025-07-21,West,Accessories,Rep C,Website,4,376.02,1504.08,2025-07
500152,2024-10-11,West,Smart Blinds,Rep C,Referral,3,348.19,1044.57,2024-10
500153,2024-09-08,Midwest,Smart Blinds,Rep B,Website,1,1052.33,1052.33,2024-09
500154,2024-02-15,South,Outdoor Shades,Rep C,Canvassing,5,461.01,2305.05,2024-02
500155,2025-10-17,South,Window Treatments,Rep D,Partner,1,729.26,729.26,2025-10
500156,2025-07-18,West,Window Treatments,Rep E,Website,4,640.52,2562.08,2025-07
500157,2024-08-10,East,Window Treatments,Rep B,Referral,5,652.57,3262.85,2024-08
500158,2024-06-16,West,Smart Blinds,Rep D,Referral,4,1018.3,4073.2,2024-06
500159,2024-10-31,Midwest,Outdoor Shades,Rep A,Website,2,1066.29,2132.58,2024-10
500160,2024-06-18,West,Window Treatments,Rep A,Website,4,957.24,3828.96,2024-06
500161,2025-09-03,East,Window Treatments,Rep E,Canvassing,4,429.89,1719.56,2025-09
500162,2024-11-13,South,Window Treatments,Rep A,Partner,5,402.62,2013.1,2024-11
500163,2024-10-30,East,Smart Blinds,Rep A,Partner,4,338.51,1354.04,2024-10
500164,2024-12-11,South,Outdoor Shades,Rep A,Referral,4,309.55,1238.2,2024-12
500165,2024-04-08,East,Window Treatments,Rep B,Website,1,147.43,147.43,2024-04
500166,2024-05-22,Midwest,Window Treatments,Rep E,Canvassing,4,530.84,2123.36,2024-05
500167,2025-10-07,South,Window Treatments,Rep D,Referral,1,559.77,559.77,2025-10
500168,2025-09-26,South,Window Treatments,Rep A,Referral,2,695.55,1391.1,2025-09
500169,2025-10-18,East,Outdoor Shades,Rep A,Website,4,475.99,1903.96,2025-10
500170,2025-05-27,East,Smart Blinds,Rep D,Referral,4,755.14,3020.56,2025-05
500171,2025-04-24,East,Accessories,Rep C,Website,5,282.96,1414.8,2025-04
500172,2025-02-17,Midwest,Accessories,Rep D,Canvassing,2,715.15,1430.3,2025-02
500173,2024-06-11,Midwest,Smart Blinds,Rep B,Referral,1,589.27,589.27,2024-06
500174,2024-10-11,West,Outdoor Shades,Rep B,Referral,1,381.2,381.2,2024-10
500175,2024-07-21,East,Window Treatments,Rep C,Referral,3,183.43,550.29,2024-07
500176,2025-01-18,West,Window Treatments,Rep B,Partner,2,767.56,1535.12,2025-01
500177,2024-11-03,West,Smart Blinds,Rep C,Referral,2,287.62,575.24,2024-11
500178,2024-07-22,Midwest,Window Treatments,Rep E,Inbound Call,2,258.59,517.18,2024-07
500179,2024-03-26,South,Accessories,Rep D,Referral,4,1060.07,4240.28,2024-03
500180,2025-03-25,West,Smart Blinds,Rep E,Canvassing,1,933.2,933.2,2025-03
500181,2025-08-27,Midwest,Outdoor Shades,Rep B,Referral,4,196.79,787.16,2025-08
500182,2025-01-03,South,Outdoor Shades,Rep A,Partner,3,179.43,538.29,2025-01
500183,2024-12-11,Midwest,Smart Blinds,Rep D,Partner,3,272.12,816.36,2024-12
500184,2025-01-07,East,Outdoor Shades,Rep C,Website,5,593.66,2968.3,2025-01
500185,2025-07-23,Midwest,Window Treatments,Rep B,Partner,3,353.42,1060.26,2025-07
500186,2025-11-02,West,Window Treatments,Rep C,Partner,4,157.33,629.32,2025-11
500187,2024-09-11,East,Outdoor Shades,Rep D,Partner,2,527.64,1055.28,2024-09
500188,2024-04-11,East,Smart Blinds,Rep D,Website,5,738.79,3693.95,2024-04
500189,2025-06-25,East,Smart Blinds,Rep B,Partner,3,833.23,2499.69,2025-06
500190,2025-07-28,Midwest,Outdoor Shades,Rep E,Website,1,807.85,807.85,2025-07
500191,2025-09-14,Midwest,Window Treatments,Rep B,Referral,4,1054.35,4217.4,2025-09
500192,2025-10-12,West,Smart Blinds,Rep D,Partner,1,594.64,594.64,2025-10
500193,2025-03-16,South,Smart Blinds,Rep D,Website,4,209.36,837.44,2025-03
500194,2025-12-28,South,Smart Blinds,Rep A,Referral,3,433.56,1300.68,2025-12
500195,2024-03-18,Midwest,Accessories,Rep D,Website,2,981.74,1963.48,2024-03
500196,2024-05-06,Midwest,Smart Blinds,Rep B,Inbound Call,5,712.0,3560.0,2024-05
500197,2024-04-22,West,Window Treatments,Rep A,Referral,3,804.7,2414.1,2024-04
500198,2024-08-14,South,Window Treatments,Rep A,Website,4,473.94,1895.76,2024-08
500199,2024-10-01,East,Window Treatments,Rep E,Canvassing,3,755.21,2265.63,2024-10
500200,2025-02-01,Midwest,Smart Blinds,Rep A,Website,4,511.81,2047.24,2025-02
500201,2025-07-11,Midwest,Window Treatments,Rep A,Canvassing,3,546.3,1638.9,2025-07
500202,2025-12-07,South,Smart Blinds,Rep B,Referral,3,660.1,1980.3,2025-12
500203,2024-09-12,South,Smart Blinds,Rep C,Website,2,739.74,1479.48,2024-09
500204,2024-08-25,South,Window Treatments,Rep B,Referral,1,833.57,833.57,2024-08
500205,2024-12-22,East,Accessories,Rep B,Referral,1,1072.77,1072.77,2024-12
500206,2025-01-14,West,Smart Blinds,Rep C,Website,2,230.04,460.08,2025-01
500207,2024-11-28,West,Window Treatments,Rep D,Canvassing,1,261.53,261.53,2024-11
500208,2025-04-24,East,Outdoor Shades,Rep A,Referral,3,308.82,926.46,2025-04
500209,2025-02-28,Midwest,Window Treatments,Rep D,Canvassing,4,1010.06,4040.24,2025-02
500210,2025-09-29,West,Accessories,Rep B,Canvassing,3,418.72,1256.16,2025-09
500211,2024-04-25,Midwest,Window Treatments,Rep B,Inbound Call,3,417.6,1252.8,2024-04
500212,2025-12-29,South,Outdoor Shades,Rep E,Website,4,986.32,3945.28,2025-12
500213,2025-09-21,East,Outdoor Shades,Rep A,Website,1,960.56,960.56,2025-09
500214,2025-06-10,East,Window Treatments,Rep C,Canvassing,2,460.23,920.46,2025-06
500215,2024-08-11,Midwest,Smart Blinds,Rep E,Website,4,647.15,2588.6,2024-08
500216,2025-01-06,East,Outdoor Shades,Rep D,Website,3,818.59,2455.77,2025-01
500217,2024-05-18,West,Accessories,Rep B,Inbound Call,5,150.6,753.0,2024-05
500218,2024-07-13,East,Smart Blinds,Rep A,Inbound Call,2,702.61,1405.22,2024-07
500219,2025-12-23,East,Smart Blinds,Rep B,Inbound Call,1,316.23,316.23,2025-12
500220,2024-05-14,Midwest,Smart Blinds,Rep A,Website,1,1083.65,1083.65,2024-05
500221,2024-09-11,South,Outdoor Shades,Rep B,Partner,2,948.47,1896.94,2024-09
500222,2024-09-07,South,Outdoor Shades,Rep E,Referral,2,642.87,1285.74,2024-09
500223,2025-09-19,South,Outdoor Shades,Rep C,Referral,4,209.78,839.12,2025-09
500224,2024-02-17,Midwest,Window Treatments,Rep D,Website,4,770.34,3081.36,2024-02
500225,2025-04-24,Midwest,Smart Blinds,Rep E,Inbound Call,5,716.65,3583.25,2025-04
500226,2024-06-12,East,Outdoor Shades,Rep C,Referral,3,1055.34,3166.02,2024-06
500227,2024-11-06,East,Window Treatments,Rep E,Referral,5,521.37,2606.85,2024-11
500228,2025-11-05,South,Outdoor Shades,Rep C,Inbound Call,4,731.09,2924.36,2025-11
500229,2025-03-08,Midwest,Window Treatments,Rep E,Inbound Call,3,553.66,1660.98,2025-03
500230,2024-10-13,South,Smart Blinds,Rep B,Partner,4,640.71,2562.84,2024-10
500231,2025-03-23,Midwest,Accessories,Rep D,Inbound Call,4,202.86,811.44,2025-03
500232,2024-02-14,East,Accessories,Rep B,Partner,1,597.64,597.64,2024-02
500233,2025-12-01,East,Outdoor Shades,Rep C,Website,3,832.2,2496.6,2025-12
500234,2024-12-22,East,Outdoor Shades,Rep D,Partner,4,511.15,2044.6,2024-12
500235,2024-04-21,South,Accessories,Rep B,Partner,2,537.42,1074.84,2024-04
500236,2025-07-10,Midwest,Window Treatments,Rep A,Partner,4,991.99,3967.96,2025-07
500237,2024-06-30,Midwest,Smart Blinds,Rep B,Inbound Call,2,975.69,1951.38,2024-06
500238,2024-06-09,South,Smart Blinds,Rep E,Website,3,378.31,1134.93,2024-06
500239,2024-12-13,South,Outdoor Shades,Rep A,Inbound Call,3,125.83,377.49,2024-12
500240,2024-01-15,East,Accessories,Rep C,Website,3,297.3,891.9,2024-01
500241,2024-10-26,South,Outdoor Shades,Rep D,Canvassing,1,947.81,947.81,2024-10
500242,2025-12-15,Midwest,Outdoor Shades,Rep E,Partner,2,533.6,1067.2,2025-12
500243,2024-12-24,South,Window Treatments,Rep B,Website,1,225.91,225.91,2024-12
500244,2024-05-14,Midwest,Outdoor Shades,Rep C,Partner,3,626.16,1878.48,2024-05
500245,2024-11-17,East,Smart Blinds,Rep D,Inbound Call,5,558.52,2792.6,2024-11
500246,2024-07-18,West,Outdoor Shades,Rep D,Referral,5,403.73,2018.65,2024-07
500247,2025-10-28,West,Window Treatments,Rep E,Website,5,415.99,2079.95,2025-10
500248,2024-07-19,East,Window Treatments,Rep E,Website,3,1050.81,3152.43,2024-07
500249,2024-11-01,South,Window Treatments,Rep C,Canvassing,5,270.45,1352.25,2024-11
500250,2025-05-25,West,Window Treatments,Rep E,Inbound Call,2,623.48,1246.96,2025-05
500251,2025-12-14,East,Outdoor Shades,Rep C,Inbound Call,3,854.56,2563.68,2025-12
500252,2025-12-10,East,Smart Blinds,Rep A,Inbound Call,4,963.2,3852.8,2025-12
500253,2024-01-14,Midwest,Window Treatments,Rep E,Canvassing,2,570.33,1140.66,2024-01
500254,2025-10-05,East,Window Treatments,Rep C,Canvassing,3,944.43,2833.29,2025-10
500255,2024-06-18,South,Smart Blinds,Rep B,Canvassing,3,938.42,2815.26,2024-06
500256,2025-09-13,South,Window Treatments,Rep D,Referral,1,198.26,198.26,2025-09
500257,2024-02-16,South,Accessories,Rep C,Inbound Call,5,963.06,4815.3,2024-02
500258,2024-02-02,West,Window Treatments,Rep D,Website,5,730.61,3653.05,2024-02
500259,2025-03-30,West,Window Treatments,Rep D,Canvassing,3,736.84,2210.52,2025-03
500260,2025-04-21,South,Outdoor Shades,Rep D,Website,5,822.47,4112.35,2025-04
500261,2024-04-04,West,Smart Blinds,Rep A,Partner,3,654.46,1963.38,2024-04
500262,2024-09-01,Midwest,Outdoor Shades,Rep C,Canvassing,5,834.84,4174.2,2024-09
500263,2024-12-17,East,Window Treatments,Rep E,Website,4,1050.21,4200.84,2024-12
500264,2024-01-08,East,Window Treatments,Rep D,Inbound Call,3,161.42,484.26,2024-01
500265,2025-11-13,West,Smart Blinds,Rep B,Website,2,976.74,1953.48,2025-11
500266,2024-06-19,South,Window Treatments,Rep C,Referral,5,321.91,1609.55,2024-06
500267,2024-06-13,South,Window Treatments,Rep A,Canvassing,5,760.56,3802.8,2024-06
500268,2025-11-26,Midwest,Smart Blinds,Rep D,Partner,1,1059.7,1059.7,2025-11
500269,2025-10-08,West,Window Treatments,Rep A,Canvassing,4,415.53,1662.12,2025-10
500270,2025-08-09,Midwest,Smart Blinds,Rep E,Website,4,389.62,1558.48,2025-08
500271,2025-04-13,Midwest,Outdoor Shades,Rep B,Referral,3,836.63,2509.89,2025-04
500272,2025-10-13,Midwest,Outdoor Shades,Rep C,Canvassing,3,802.38,2407.14,2025-10
500273,2024-07-10,Midwest,Window Treatments,Rep B,Website,4,126.71,506.84,2024-07
500274,2024-03-07,South,Window Treatments,Rep E,Canvassing,4,473.63,1894.52,2024-03
500275,2024-01-15,East,Window Treatments,Rep C,Inbound Call,4,335.27,1341.08,2024-01
500276,2024-04-06,South,Smart Blinds,Rep B,Referral,4,314.77,1259.08,2024-04
500277,2025-04-01,West,Window Treatments,Rep A,Canvassing,3,708.14,2124.42,2025-04
500278,2025-05-14,West,Smart Blinds,Rep A,Website,2,1077.8,2155.6,2025-05
500279,2024-11-19,East,Accessories,Rep D,Partner,2,492.27,984.54,2024-11
500280,2024-09-05,East,Accessories,Rep C,Inbound Call,2,321.88,643.76,2024-09
500281,2024-01-03,West,Window Treatments,Rep B,Inbound Call,1,166.91,166.91,2024-01
500282,2025-07-31,West,Window Treatments,Rep D,Referral,3,791.69,2375.07,2025-07
500283,2025-10-23,South,Window Treatments,Rep D,Website,2,262.15,524.3,2025-10
500284,2025-08-18,Midwest,Window Treatments,Rep E,Inbound Call,3,1093.81,3281.43,2025-08
500285,2025-09-12,Midwest,Outdoor Shades,Rep E,Inbound Call,2,1093.05,2186.1,2025-09
500286,2024-01-20,South,Accessories,Rep D,Website,1,1040.18,1040.18,2024-01
500287,2025-11-12,South,Outdoor Shades,Rep E,Referral,1,336.87,336.87,2025-11
500288,2025-06-22,West,Window Treatments,Rep E,Website,4,142.5,570.0,2025-06
500289,2024-02-23,South,Window Treatments,Rep D,Canvassing,4,905.6,3622.4,2024-02
500290,2024-09-25,South,Outdoor Shades,Rep D,Website,4,144.67,578.68,2024-09
500291,2025-07-01,South,Window Treatments,Rep E,Referral,1,854.9,854.9,2025-07
500292,2025-07-25,East,Smart Blinds,Rep D,Website,3,543.28,1629.84,2025-07
500293,2024-12-13,West,Smart Blinds,Rep B,Canvassing,5,242.08,1210.4,2024-12
500294,2024-09-29,East,Smart Blinds,Rep D,Website,4,362.0,1448.0,2024-09
500295,2024-04-07,Midwest,Smart Blinds,Rep C,Partner,5,923.6,4618.0,2024-04
500296,2025-08-22,West,Outdoor Shades,Rep C,Website,3,1074.97,3224.91,2025-08
500297,2024-10-03,West,Outdoor Shades,Rep D,Inbound Call,1,710.44,710.44,2024-10
500298,2024-12-19,South,Smart Blinds,Rep E,Referral,1,973.42,973.42,2024-12
500299,2024-02-27,West,Outdoor Shades,Rep D,Website,5,937.73,4688.65,2024-02
500300,2025-10-14,Midwest,Window Treatments,Rep B,Inbound Call,3,715.26,2145.78,2025-10
500301,2025-01-10,West,Smart Blinds,Rep B,Inbound Call,1,603.18,603.18,2025-01
500302,2025-08-21,East,Accessories,Rep E,Partner,2,569.3,1138.6,2025-08
500303,2024-08-17,West,Accessories,Rep D,Inbound Call,4,143.32,573.28,2024-08
500304,2025-01-25,Midwest,Outdoor Shades,Rep D,Partner,3,289.79,869.37,2025-01
500305,2024-05-03,West,Accessories,Rep B,Canvassing,1,934.13,934.13,2024-05
